"sentence1","sentence2","sent_1","sent","id"
"В реанимации: измеренные жиз. показатели Т 37.2 ЧСС 73 АД 121/90 ЧДД 15 О2 насыщ 98% при комн. воздухе.","Пациент испытывает боль.","neutral","0","1f2a87a4-66c7-11e7-a3d7-f45c89b91419"
"63-летняя женщина с гиперхолестеринемией и язвенной болезнью перенесшая несколько лет назад желудочное шунтирование попала в ДТП на низкой скорости.","у пациента нет значительных травм","neutral","0","1f2a95a2-66c7-11e7-84e9-f45c89b91419"
"ИСТОРИЯ ТЕКУЩЕГО ЗАБОЛЕВАНИЯ: Пациент - мужчина 54 лет с конечной стадией болезни почек вызванной диабетом 1 типа обратился за трансплантацией почки от жены.","у пациента диабетическая невропатия","neutral","0","1f2a9e80-66c7-11e7-b8cc-f45c89b91419"
"ИСТОРИЯ: [**Фамилия пациента**] - мальчик 33-6/7 недель близнец №2 родился в 15:07 вечера [**2749-6-23**] путем кесарева сечения по причине преэклампсии от 34-летней матери (первая беременность) [**Имя (NI) 2016**].","у пациента низкий вес при рождении","neutral","0","1f2aa72c-66c7-11e7-92f7-f45c89b91419"
"Отрицал наличие головной боли тошноты или рвоты.","Он афебрилен","neutral","0","1f2aad10-66c7-11e7-bc67-f45c89b91419"
"ИСТОРИЯ БОЛЕЗНИ: Диабет 2 типа лечится инсулином гастроэзофагеальная рефлюксная болезнь кольцо Шацки нарушения мозгового кровообращения в [**2948**] с остаточным левым гемипарезом лечится кумадином тотальная абдоминальная гистерэктомия и двусторонняя сальпингоофорэктомия заболевания периферических сосудов состояние после аппендэктомии ишемическая болезнь сердца с пересадкой коронарной артерии в [**9-/2953**] с пересадкой левой внутренней грудной артерии в левую переднюю нисходящую правой подкожной вены в тупой край номер один и лучевой в заднюю нисходящую артерию.","Пациент страдает ожирением.","neutral","0","1f2ab74c-66c7-11e7-9d98-f45c89b91419"
"Согласно данным ЭКГ начальным qtc 410 теперь 475. QRS 82 изначально теперь 86 частота = 95.","Пациент страдает стенокардией","neutral","0","1f2abe74-66c7-11e7-9130-f45c89b91419"
"По прибытии в реан. отдел. темп 361 АД 184/94 ЧСС 92 чдд 24 88% при комнатном воздухе -> 98% с респираторно лицевой маской.","Пациент имеет в анамнезе ХОБЛ","neutral","0","1f2ac3d4-66c7-11e7-bdb0-f45c89b91419"
"синусит астма (неактивная) ВПГ-1 [**2572**]","У пациента появляются язвы орального герпеса во рту.","neutral","0","1f2acc34-66c7-11e7-a597-f45c89b91419"
"МЕДИЦИНСКИЙ Анамнез: сахарный диабет 2 типа.","пациент принимает инсулин","neutral","0","1f2ad1f0-66c7-11e7-9339-f45c89b91419"
"Первоначально отказывался от операции но участились приступы боли в груди.","У него ишемическая болезнь сердца","neutral","0","1f2adbca-66c7-11e7-8c37-f45c89b91419"
"Женщина 68 лет с обширным анамнезом хронических и многофакторных заболеваний легких дома находится на 2 л кислорода врожденным пороком сердца с большим РАС обструктивным заболеванием легких хронической легочной эмболией тяжелой легочной гипертензией на фоне приема силденифила с прогрессирующей одышкой.","Пациент имеет низкий показатель ОФВ1","neutral","0","1f2ae47e-66c7-11e7-b820-f45c89b91419"
"ИСТОРИЯ ЗАБОЛЕВАНИЯ: 86-летняя женщина с такими записями в анамнезе: диабет гипертония гиперхолестеринемия и обмороками. Поступившая [**2777-5-24**] с невнятной речью затрудненным хватанием правой рукой и спутанностью сознания в течение последних двух дней.","В анамнезе указаны ишемические инсульты","neutral","0","1f2aee38-66c7-11e7-8edc-f45c89b91419"
"У нее кашель с мокротой иногда с прожилками крови но не более.","У пациента туберкулез.","neutral","0","1f2af3ae-66c7-11e7-ac60-f45c89b91419"
"Он знал то что хотел сказать но ему было трудно выговорить слова.","У пациента дисфазия.","neutral","0","1f2af998-66c7-11e7-9197-f45c89b91419"
"84-летняя женщина с ИБС проведённой [**8-27**] АКШ (ПМЖВ трансплантация подкожной вены в тупые краевые ветви) терминальная стадия ХБП СД2 фибрилляция предсердий переведенна из другой больницы для катетеризации сердца.","В анамнезе отмечено курение","neutral","0","1f2b0148-66c7-11e7-8a17-f45c89b91419"
