"sentence1","sentence2","sent_1","sent","id"
"Пациентом был выведен 1 л.","1 литр жидкости организма был собран.","entailment","1","23fd9052-66c7-11e7-bc4b-f45c89b91419"
"Беременность была осложнена тем что у 2 близнеца (ангидрамниоз двусторонние мультикистозные диспластические почки короткие бедренные кости тяжелое ограничение внутриутробного развития).","2й близнец подвержен риску умственной отсталости","neutral","0","2402df7e-66c7-11e7-a3f5-f45c89b91419"
"Была найдена бутылочка на 50 таблеток Тайленола в которой оставалось только 20 таблеток.","30 таблеток тайленола отсутствовали","entailment","1","23fe4fae-66c7-11e7-b3e6-f45c89b91419"
"Газы артериальной крови в отделении 749/21/62 на 3л физраствор.","ABG анализ пациента была в пределах нормы","contradiction","2","23fabdf8-66c7-11e7-a628-f45c89b91419"
"Его PCO2 обычно находится в пределах 60 (согласно мед карте) но при поступлении было хуже (103).","PCO2 выше исходного уровня при поступлении","entailment","1","24034ae2-66c7-11e7-ba08-f45c89b91419"
"Его PCO2 обычно находится в пределах 60 (согласно мед карте) но при поступлении было хуже (103).","PCO2 низкий при поступлении","contradiction","2","24034c7a-66c7-11e7-bdba-f45c89b91419"
"Был проведён анализ крови который показал pH 731 pCO2 25 и pO2 146 на 100% респираторной маске.","pCO2 у пациента низкий","entailment","1","24105c5a-66c7-11e7-a850-f45c89b91419"
"Начальное SvO2 у него было 73.","SvO2 в норме","entailment","1","242edc30-66c7-11e7-afe2-f45c89b91419"
"Начальное SvO2 у него было 73.","SvO2 оставался стабильным","neutral","0","242edffa-66c7-11e7-b6dc-f45c89b91419"
"Органомегалии и образований нет.","Абдоминальное обследование в норме","neutral","0","243e81a8-66c7-11e7-8d2c-f45c89b91419"
"Не удалось оценить наличие асцита или гепатоспленомегалии.","Абдоминальное обследование выявило органегалии","contradiction","2","2447e2b6-66c7-11e7-8582-f45c89b91419"
"Не удалось оценить наличие асцита или гепатоспленомегалии.","Абдоминальное обследование не может быть завершено","entailment","1","2447e13a-66c7-11e7-a123-f45c89b91419"
"Кровотечение из нижних отделов ЖКТ 2 года назад - обнаружены артериовенозные мальформации в терминальной части подвздошной кишки.","АВМ у пациента была обнаружена при колоноскопии.","neutral","0","24319ecc-66c7-11e7-b704-f45c89b91419"
"Многочисленные лекарственные аллергии в том числе на многие антибиотики.","Аллергия на некоторые антибиотики","entailment","1","2435beee-66c7-11e7-8965-f45c89b91419"
"При родах произошел разрыв околоплодных оболочек с прозрачной амниотической жидкостью.","Амниотическая жидкость была окрашена меконием","contradiction","2","243954be-66c7-11e7-b652-f45c89b91419"
"Газы артериальной крови в отделении 749/21/62 на 3л физраствор.","Анализ газов артериальной крови был выполнен","entailment","1","23fabc7a-66c7-11e7-9afd-f45c89b91419"
"На момент перевода она принимала только эхинокандин в качестве противогрибкового препарата [**Фамилия 176**] и у неё сохранялась фунгемия.","Анализ крови в норме","contradiction","2","2405fc86-66c7-11e7-9762-f45c89b91419"
"Был проведён анализ крови который показал pH 731 pCO2 25 и pO2 146 на 100% респираторной маске.","Анализ крови в пределах нормы","contradiction","2","24105ee2-66c7-11e7-81d4-f45c89b91419"
"Жалоб на жар кашель ринорею тошноту рвоту диарею мочеиспускание не предъявляет.","Анализ крови у пациента нормальный","neutral","0","24053c5e-66c7-11e7-a789-f45c89b91419"
"Гиперхолестеринемия (не принимает статины из-за повышенного уровня фпп) 5.","Анализ крови у пациента нормальный","contradiction","2","241f9bf0-66c7-11e7-8865-f45c89b91419"
"Анализ мочи с небольшим количеством лейкоцитов и нитратов.","Анализ мочи в норме","contradiction","2","2416c01e-66c7-11e7-8a71-f45c89b91419"
"Анализ мочи с небольшим количеством лейкоцитов и нитратов.","Анализ мочи содержал лейкоциты","entailment","1","2416bdee-66c7-11e7-97a3-f45c89b91419"
"Основные анализы показали гипонатриемию (Na 118) гипокалиемию гипохлоремический метаболический алкалоз.","Анализы были ненормальными","entailment","1","243182ca-66c7-11e7-b602-f45c89b91419"
"Повышение Т-тропонина при нормальной катетеризации в условиях обострения ХОБЛ.","Анализы крови в норме","contradiction","2","242a8d76-66c7-11e7-83d9-f45c89b91419"
"Состояние стабилизировалось но по прежнему находиться под наблюдением.","Анализы пациента в норме","neutral","0","23f9204c-66c7-11e7-9e2e-f45c89b91419"
