"sentence1","sentence2","sent_1","sent","id"
"Анализы отличались содержанием креатина 17 (исходный уровень 05 по старым записям) и лактата 24.","У пациента повышенный уровень азота в моче","neutral","0","23eb9986-66c7-11e7-9ef9-f45c89b91419"
"Отмечены нистагм и судорожное подергивание правой руки.","У пациента острый инсульт.","neutral","0","23eb9f12-66c7-11e7-8d5d-f45c89b91419"
"Пациент обратился к своему лечащему врачу после того как в течение недели жаловался на одышку при нагрузке и стеснение челюсти.","У пациента имеется заболевание коронарных артерий.","neutral","0","23eba502-66c7-11e7-a947-f45c89b91419"
"В больнице пациент испытывал боль в груди оцениваемую 10 из 10 и получил нитропасту 5 см три сублингвальных нитроглицерина морфин 4 мг внутривенно лопрессор 5 мг внутривенно.","У пациента инфаркт миокарда.","neutral","0","23ebb678-66c7-11e7-9479-f45c89b91419"
"В анамнезе нефролитиаз с гематурией.","у пациента боль в боку","neutral","0","23ebbc2c-66c7-11e7-a4d6-f45c89b91419"
"По словам пациента вчера поздно вечером он принял более 100 таблеток лизиноприла нифедипина и атенолола.","Пациент в депрессии.","neutral","0","23ebc336-66c7-11e7-a59f-f45c89b91419"
"Временный кардиостимулятор был установлен на [**11-7**] по поводу стойкой полной блокады сердца но согласно отчету пациент не был кардиозависим.","У пациента в анамнезе гипертония","neutral","0","23ebca1e-66c7-11e7-bc0b-f45c89b91419"
"[**8-19**] ему наконец-то провели катетеризацию сердца которая не выявила ограничивающего поток заболевания коронарных артерий но была обнаружена аневризма восходящей аорты размером около шести см.","У пациента в анамнезе гипертония и курение","neutral","0","23ebd07e-66c7-11e7-8b73-f45c89b91419"
"В реабилитационном центре его лечили ванко/флагилом с подозрением на аспирационную пневмонию.","у пациента был инсульт","neutral","0","23ebd73e-66c7-11e7-8193-f45c89b91419"
"При родах обнаружено выделение прозрачной жидкости и амниотический запах.","У пациентки нет мед анамнеза","neutral","0","23ebdca2-66c7-11e7-a286-f45c89b91419"
"Левая доминанта умеренная левая основная 50% левая передняя нисходящая и минимальные нарушения просвета.","У пациента в анамнезе высокий уровень холестерина и высокое кровяное давление","neutral","0","23ebe206-66c7-11e7-b5c1-f45c89b91419"
"Три недели назад у пациентки начались симптомы боли в животе тошноты и рвоты похожие на эпизод дивертикулита а примерно через неделю она обратилась в [**Больницу**] заметив что из влагалища сочится кал а компьютерная томография в др больнице выявила энтеровагинальный свищ.","У неё есть история ожирения","neutral","0","23ebeee2-66c7-11e7-b1d3-f45c89b91419"
"Ей начали давать дилантин.","Пациент госпитализирован","neutral","0","23ebf4f8-66c7-11e7-92a1-f45c89b91419"
"[**Имя пациента 6979**] - 54-летняя женщина с лимфомой ЦНС в анамнезе которая поступила с нарастающими судорогами и гипотонией.","у пациента ВИЧ","neutral","0","23ebfb24-66c7-11e7-8b6d-f45c89b91419"
